,titulo,preco_original,desconto_percentual,preco_com_desconto,quantidade_vendida,marca,material,genero,temporada,nota_satisfacao,quantidade_avaliações
99,Kit 4 Cuecas Lupo Algodão Sunga Boxer Adulto Cotton Original,R$ 101.78,19%,R$ 85.53,1000,Lupo,Algodão,Masculino,Outono/Inverno,4.5,193
100,Kit 10 Cuecas Boxer Lupo Microfibra Sem Costura Box Original,R$ 385.58,20%,R$ 321.32,1000,Lupo,Microfibra,Masculino,Primavera-verão Outono-inverno,4.8,197
101,Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,R$ 188.90,5%,R$ 179.90,1000,Lupo,Algodão 95%,Masculino,2021,4.2,621
102,Kit 2 Cuecas Boxer Box Lupo Sem Costura Microfibra Original,R$ 55.70,0%,R$ 55.70,50,Lupo,Microfibra,Masculino,Primavera/Verão,5,7
103,Kit 4 Cueca Tamanho 54 A 64 Boxer Box Lupo Plus Size Algodão,R$ 116.51,0%,R$ 116.51,1000,Lupo,Algodão,Masculino,Primavera-verão Outono-inverno,Sem avaliação,0
104,Kit 10 Cuecas Lupo Boxer Tamanho Grande Plus Size Algodão Nf,R$ 268.17,0%,R$ 268.17,100,Lupo,Algodão,Masculino,Primavera-verão Outono-inverno,3.1,31
105,Kit 10 Cueca Box Boxer Lupo Masculina Sem Costura Microfibra,R$ 289.49,0%,R$ 289.49,5,Lupo,Microfibra,Masculino,Primavera-verão Outono-inverno,5,3
106,Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,R$ 188.90,5%,R$ 179.90,1000,Lupo,Algodão 95%,Masculino,2021,3.1,621
107,Cueca Boxboxer Longleg Microfibra Sem Costura Masculina Lupo,R$ 41.90,0%,R$ 41.90,100,Lupo,Poliamida,Masculino,Primavera/Verão,4.9,21
108,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,R$ 274.81,18%,R$ 232.89,10000,Lupo,Algodão,Masculino,Outono/Inverno,4.5,3037
109,Kit 8 Cuecas Boxer Lupo Box 100% Original Tecido Algodao,R$ 170.66,0%,R$ 170.66,100,Lupo,Algodão Cotton,Masculino,Primavera-verão - Outono-Inverno,3.1,10
110,Faixa Para Cabelo Lupo Tecido Elastico Sem Costura 15010-001,R$ 43.96,6%,R$ 41.47,25,Lupo,N/A,Feminino,N/A,Sem avaliação,0
111,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,R$ 90.99,30%,R$ 69.99,10000,Lupo,Microfibra,Masculino,Primavera/Verão,4.8,1430
112,Faixa De Cabelo Lupo Sport Fitness Yoga Pilates 15010-001,R$ 41.57,0%,R$ 41.57,500,Lupo,N/A,Feminino,N/A,3.1,45
113,2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,R$ 52.78,34%,R$ 39.39,1000,Lupo,N/A,N/A,N/A,4.9,52
114,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,R$ 109.68,22%,R$ 89.90,10000,Lupo,Algodão,Masculino,Primavera/Verão,4.6,2387
115,Kit 6 Cuecas Boxer Lupo Algodão Masculina Box,R$ 127.99,0%,R$ 127.99,100,Lupo,Algodão Cotton,Masculino,Primavera-verão Outono-Inverno,4.4,25
116,Oferta Kit 8 Cuecas Lupo Boxer Algodão Masculina Box,R$ 153.59,0%,R$ 153.59,4,Lupo,Algodão Cotton,Masculino,Primavera-verão - Outono-Inverno,Sem avaliação,0
117,Bermuda Masculina Mizuno Energy 7,R$ 99.99,0%,R$ 99.99,1,Mizuno,Poliéster,Masculino,Outono/Inverno,Sem avaliação,0
118,Bermuda Masculina Mizuno Run Bird,R$ 171.59,32%,R$ 129.99,3,Mizuno,Poliéster,Masculino,Outono/Inverno,Sem avaliação,0
119,Bermuda Termica Masculina Mormaii Preto 1263 Ciclista,R$ 59.90,0%,R$ 59.90,5,Mormaii,Poliamida,Masculino,N/A,Sem avaliação,0
120,Top Sutiã Feminino Mormaii C05022,R$ 42.29,0%,R$ 42.29,5,Mormaii,Poliamida,Feminino,Primavera/Verão,Sem avaliação,0
121,Short Saia Feminino Fila Básico,R$ 119.99,0%,R$ 119.99,1,Fila,Poliamida,Feminino,Outono/Inverno,Sem avaliação,0
122,Bermuda Masculina Fila Player Fbox Li,R$ 209.09,23%,R$ 169.99,0,Fila,Elastano,Masculino,Outono/Inverno,Sem avaliação,0
123,Bermuda Fila Letter Masculina Original Tendência,R$ 155.90,0%,R$ 155.90,3,Fila,50% - ALGODAO 50% - POLIESTER,Masculino,Primavera/Verão,Sem avaliação,0
124,Bermuda Masculina Fila Sports Color Ii,R$ 288.19,31%,R$ 219.99,0,Fila,Elastano,Masculino,Outono/Inverno,Sem avaliação,0
125,Bermuda Masculina Fila Basic Letter,R$ 264.59,47%,R$ 179.99,1,Fila,Algodão,Masculino,Primavera/Verão,Sem avaliação,0
126,Bermuda John John Jeans Clássica Livorno Masculina,R$ 339.00,0%,R$ 339.00,5,John John,Jean,Masculino,Primavera/Verão,Sem avaliação,0
127,Shorts John John Alto Berlim Feminino,R$ 348.00,0%,R$ 348.00,1,John John,Jeans,Feminino,Outono/Inverno,Sem avaliação,0
